time,distance
0,0
0,0
50,800
100,800
150,800
200,800
250,800
300,800
350,800
400,800
450,800
500,800
550,800
600,800
650,800
700,800
750,800
800,800
850,800
900,800
950,800
1000,800
1050,800
1100,800
1150,800
1200,800
1250,800
1300,800
1350,800
1400,800
1450,800
1500,800
1550,800
1600,800
1650,800
1700,800
1750,800
1800,800
1850,800
1900,800
1950,800
2000,800
2050,800
2100,800
2150,800
2200,800
2250,800
2300,800
2350,800
2400,800
2450,800
2500,800
2550,800
2600,800
2650,800
2700,800
2750,800
2800,800
2850,800
2900,800
2950,800
3000,800
3050,800
3100,800
3150,800
3200,800
3250,800
3300,800
3350,800
3400,800
3450,800
3500,800
3550,800
3600,800
3650,800
3700,800
3750,800
3800,800
3850,800
3900,800
3950,800
4000,800
4050,800
4100,800
4150,800
4200,800
4250,800
4300,800
4350,800
4400,800
4450,800
4500,800
4550,800
4600,800
4650,800
4700,800
4750,800
4800,800
4850,800
4900,800
4950,800
5000,800
5050,800
5100,800
5150,800
5200,800
5250,800
5300,800
5350,800
5400,800
5450,800
5500,800
5550,800
5600,800
5650,800
5700,800
5750,800
5800,800
5850,800
5900,800
5950,800
6000,800
6050,800
6100,800
6150,800
6200,800
6250,800
6300,800
6350,800
6400,800
6450,800
6500,800
6550,800
6600,800
6650,800
6700,800
6750,800
6800,800
6850,800
6900,800
6950,800
7000,800
7050,800
7100,800
7150,800
7200,800
7250,800
7300,586
7350,576
7400,561
7450,556
7500,543
7550,538
7600,539
7650,537
7700,530
7750,537
7800,537
7850,531
7900,537
7950,542
8000,551
8050,557
8100,561
8150,556
8200,544
8250,540
8300,535
8350,520
8400,508
8450,510
8500,516
8550,518
8600,526
8650,512
8700,509
8750,496
8800,501
8850,522
8900,523
8950,536
9000,544
9050,541
9100,548
9150,535
9200,531
9250,540
9300,528
9350,528
9400,525
9450,525
9500,521
9550,525
9600,514
9650,528
9700,539
9750,526
9800,534
9850,521
9900,526
9950,515
10000,511
10050,487
10100,492
10150,494
10200,501
10250,495
10300,500
10350,495
10400,489
10450,505
10500,515
10550,527
10600,527
10650,527
10700,514
10750,513
10800,512
10850,499
10900,492
10950,484
11000,493
11050,499
11100,487
11150,490
11200,495
11250,495
11300,502
11350,512
11400,522
11450,509
11500,520
11550,512
11600,498
11650,498
11700,492
11750,478
11800,483
11850,477
11900,485
11950,493
12000,488
12050,493
12100,496
12150,500
12200,502
12250,499
12300,492
12350,499
12400,499
12450,493
12500,487
12550,485
12600,489
12650,484
12700,494
12750,489
12800,483
12850,490
12900,485
12950,490
13000,496
13050,496
13100,488
13150,490
13200,489
13250,491
13300,486
13350,499
13400,495
13450,486
13500,494
13550,487
13600,492
